Date,Symbol,Open,High,Low,Close,Volume
27-10-2010,MARUTI,1567.15,1570,1507.2,1525.6,794179
28-10-2010,MARUTI,1529.7,1549,1515,1534.8,665095
29-10-2010,MARUTI,1534.8,1559,1516.05,1551.6,236775
01-11-2010,MARUTI,1560,1560,1482.5,1508.3,875788
02-11-2010,MARUTI,1509.85,1524,1488,1493.4,345655
03-11-2010,MARUTI,1497.55,1508.6,1487,1496.1,235501
04-11-2010,MARUTI,1501,1514,1496.05,1507.6,352793
05-11-2010,MARUTI,1525,1525,1507,1512.35,40103
08-11-2010,MARUTI,1515,1519,1486,1488.6,228488
09-11-2010,MARUTI,1490,1506,1466,1471.95,382790
10-11-2010,MARUTI,1475,1478,1460.05,1475.1,209770
11-11-2010,MARUTI,1485,1487.5,1465.2,1470.4,217656
12-11-2010,MARUTI,1463,1469,1444.05,1454.5,213197
15-11-2010,MARUTI,1452,1459.15,1424,1436.9,133347
16-11-2010,MARUTI,1444.95,1449.35,1385.55,1400.65,382476
18-11-2010,MARUTI,1409.85,1437.7,1376.7,1430.35,359749
19-11-2010,MARUTI,1433.9,1433.9,1397.1,1405.4,235528
22-11-2010,MARUTI,1410,1428,1395,1420.95,145576
23-11-2010,MARUTI,1415,1453.85,1396.9,1441.5,331033
24-11-2010,MARUTI,1440,1467,1403.15,1416.05,202980
25-11-2010,MARUTI,1416.15,1427.9,1371.35,1380.1,407030
26-11-2010,MARUTI,1386,1389.9,1336,1367,199109
29-11-2010,MARUTI,1370,1417.4,1365.3,1406.05,143095
30-11-2010,MARUTI,1406.05,1428.75,1376.45,1422,215559
01-12-2010,MARUTI,1420,1446.5,1402.15,1414.1,414015
02-12-2010,MARUTI,1437.3,1437.3,1403.4,1408.85,234362
03-12-2010,MARUTI,1410,1419.8,1391.3,1400.6,228411
06-12-2010,MARUTI,1417,1417,1391,1408.1,129508
07-12-2010,MARUTI,1410,1446.7,1408.7,1428.65,376506
08-12-2010,MARUTI,1430,1444.7,1392.15,1417.15,309194
09-12-2010,MARUTI,1406,1415,1383.25,1391.15,228112
10-12-2010,MARUTI,1390,1418.85,1365.7,1413.25,156706
13-12-2010,MARUTI,1420,1434.05,1402,1421.85,202845
14-12-2010,MARUTI,1420.05,1435,1406,1413.85,112041
15-12-2010,MARUTI,1414,1414.95,1387.6,1395,222327
16-12-2010,MARUTI,1398,1399,1365.25,1378,338077
20-12-2010,MARUTI,1380.5,1422,1346,1414.85,325141
21-12-2010,MARUTI,1416.6,1454.8,1402.5,1423.3,610373
22-12-2010,MARUTI,1425.05,1431,1384.2,1394.1,297205
23-12-2010,MARUTI,1390.25,1399.95,1385.1,1392.35,346689
24-12-2010,MARUTI,1391,1398.45,1368,1391.5,208168
27-12-2010,MARUTI,1398,1407.8,1386.7,1394.35,149330
28-12-2010,MARUTI,1400,1406,1386.05,1395.2,193304
29-12-2010,MARUTI,1394.1,1424,1386.35,1417.9,228653
30-12-2010,MARUTI,1422,1439.5,1413,1420.45,231775
31-12-2010,MARUTI,1420.8,1430.5,1415,1421.6,153415
03-01-2011,MARUTI,1430,1450,1418.5,1426.05,300162
04-01-2011,MARUTI,1427,1453.4,1404.05,1428.75,540328
05-01-2011,MARUTI,1428,1435,1406.35,1412.45,275096
06-01-2011,MARUTI,1415.05,1425,1366.3,1373.9,353272
07-01-2011,MARUTI,1365,1367.7,1337.55,1340.55,493731
10-01-2011,MARUTI,1349,1350,1318.2,1326,254474
11-01-2011,MARUTI,1325,1330.7,1305.95,1318.45,394195
12-01-2011,MARUTI,1324,1328.9,1294.9,1317.65,316610
13-01-2011,MARUTI,1320,1325,1301.6,1315.55,263445
14-01-2011,MARUTI,1316,1319,1263.3,1269.7,468849
17-01-2011,MARUTI,1270,1280,1255,1269.6,206244
18-01-2011,MARUTI,1276,1285.05,1268.05,1277.6,210065
19-01-2011,MARUTI,1284,1284,1266.5,1272.7,233334
20-01-2011,MARUTI,1267.55,1268,1245.1,1259.25,186731
21-01-2011,MARUTI,1264,1267.7,1238.2,1248.65,361853
24-01-2011,MARUTI,1269,1299.95,1255,1292.5,285343
25-01-2011,MARUTI,1305,1305,1276.05,1288.15,237024
27-01-2011,MARUTI,1299.8,1299.8,1263.1,1269.7,188751
28-01-2011,MARUTI,1272,1272,1220,1229.35,609439
31-01-2011,MARUTI,1199,1264.45,1150.3,1252.85,1056178
01-02-2011,MARUTI,1266,1275,1233.6,1242.4,331423
02-02-2011,MARUTI,1248.45,1248.45,1211,1217.05,446214
03-02-2011,MARUTI,1210,1229.9,1205.3,1218.2,355406
04-02-2011,MARUTI,1230,1236.4,1176,1182.95,309323
07-02-2011,MARUTI,1201,1201,1180,1189.75,155137
08-02-2011,MARUTI,1194,1194,1170.1,1176.8,214476
09-02-2011,MARUTI,1174,1189,1145,1154,178835
10-02-2011,MARUTI,1157.5,1174.85,1148.1,1160,268346
11-02-2011,MARUTI,1145,1186.8,1145,1181.35,306097
14-02-2011,MARUTI,1200,1228,1193,1224.1,258845
15-02-2011,MARUTI,1225,1242,1212,1236.7,215206
16-02-2011,MARUTI,1240,1240,1221,1227.95,94606
17-02-2011,MARUTI,1218.9,1239.95,1215,1228.05,128256
18-02-2011,MARUTI,1227,1256,1225,1228.7,355711
21-02-2011,MARUTI,1229,1230,1181,1207.35,203836
22-02-2011,MARUTI,1205,1205,1170.1,1181.1,189502
23-02-2011,MARUTI,1178,1202.6,1178,1192.5,339470
24-02-2011,MARUTI,1178,1199,1154.7,1174.55,656061
25-02-2011,MARUTI,1183,1183,1144.6,1168.65,347521
28-02-2011,MARUTI,1171,1228,1158.5,1208.2,376909
01-03-2011,MARUTI,1209.1,1312.7,1206,1290.75,759153
03-03-2011,MARUTI,1281.15,1334,1271.05,1322.25,461594
04-03-2011,MARUTI,1325,1341.6,1294.9,1312.05,455165
07-03-2011,MARUTI,1281,1290,1249.15,1260.85,252355
08-03-2011,MARUTI,1267.8,1274.9,1245.5,1256.15,406646
09-03-2011,MARUTI,1262,1283,1260.1,1266,181247
10-03-2011,MARUTI,1264.75,1285,1255.35,1271.4,220927
11-03-2011,MARUTI,1256.5,1278.5,1240,1250.85,252688
14-03-2011,MARUTI,1242.25,1266,1218.05,1257,555011
15-03-2011,MARUTI,1220,1229.9,1200,1214.15,447418
16-03-2011,MARUTI,1219.8,1228.9,1214.1,1219.25,233465
17-03-2011,MARUTI,1205.2,1213.9,1155.05,1165.1,1136194
18-03-2011,MARUTI,1183.7,1201,1147.1,1156.2,1087299
21-03-2011,MARUTI,1161.2,1166,1122,1128.2,524674
22-03-2011,MARUTI,1136.05,1179,1133.05,1171.95,879108
23-03-2011,MARUTI,1170,1181,1157.1,1175.95,458496
24-03-2011,MARUTI,1170,1184,1157.8,1167.15,569659
25-03-2011,MARUTI,1173,1185,1161.5,1182.3,504995
28-03-2011,MARUTI,1189.8,1210.35,1180,1201.7,604130
29-03-2011,MARUTI,1210,1249.9,1206,1237.95,593159
30-03-2011,MARUTI,1246,1295.8,1238.85,1269,934495
31-03-2011,MARUTI,1269,1286,1251,1262.15,851042
01-04-2011,MARUTI,1251.65,1292.4,1251.65,1271.1,373301
04-04-2011,MARUTI,1286,1304.9,1258.6,1300.35,406624
05-04-2011,MARUTI,1300.35,1322,1282.8,1310.85,327406
06-04-2011,MARUTI,1327,1328.1,1288.05,1297.5,477877
07-04-2011,MARUTI,1279.55,1285,1268,1278.25,378375
08-04-2011,MARUTI,1275,1284.5,1250,1253.85,274026
11-04-2011,MARUTI,1250,1254.1,1231,1237.6,161328
13-04-2011,MARUTI,1214,1282.15,1214,1278.15,486624
15-04-2011,MARUTI,1270.5,1284,1255,1257.2,199832
18-04-2011,MARUTI,1256,1282,1250.5,1262.35,472622
19-04-2011,MARUTI,1250,1267.25,1240,1254.7,342396
20-04-2011,MARUTI,1258,1270.1,1250.1,1265,370509
21-04-2011,MARUTI,1274.9,1314,1267,1307,687122
25-04-2011,MARUTI,1310,1335,1286.3,1326.45,1325337
26-04-2011,MARUTI,1324.9,1324.9,1297.25,1302.6,543624
27-04-2011,MARUTI,1308.9,1329.9,1305.2,1316.8,307291
28-04-2011,MARUTI,1321.2,1325.3,1297,1301.25,255730
29-04-2011,MARUTI,1295.25,1328.65,1288.65,1317.65,336437
02-05-2011,MARUTI,1320,1334,1286.1,1291.6,541711
03-05-2011,MARUTI,1290,1290,1241.25,1273.8,660811
04-05-2011,MARUTI,1268.5,1269,1241,1244.6,421192
05-05-2011,MARUTI,1244,1274.3,1235.3,1253.85,370008
06-05-2011,MARUTI,1254,1287,1242.4,1273.5,481365
09-05-2011,MARUTI,1276.5,1279.9,1240,1245.5,154135
10-05-2011,MARUTI,1245,1254.5,1234,1241.8,186668
11-05-2011,MARUTI,1236.4,1245.8,1214.15,1222.85,347243
12-05-2011,MARUTI,1220,1238,1215,1219.2,189669
13-05-2011,MARUTI,1219.2,1237,1215,1222.45,146615
16-05-2011,MARUTI,1215,1238.35,1203.3,1230.5,221705
17-05-2011,MARUTI,1230.5,1230.5,1205,1210,124996
18-05-2011,MARUTI,1209,1232.9,1190,1216.6,343937
19-05-2011,MARUTI,1210,1223.2,1206,1211.75,106571
20-05-2011,MARUTI,1212.3,1240.8,1210,1223.2,82338
23-05-2011,MARUTI,1207,1220,1200,1203.75,83639
24-05-2011,MARUTI,1206,1225.95,1195.65,1204.5,139391
25-05-2011,MARUTI,1201,1208.85,1192.25,1200.75,134930
26-05-2011,MARUTI,1195.35,1234.6,1195.35,1215.3,261038
27-05-2011,MARUTI,1210,1227,1201,1221.7,215160
30-05-2011,MARUTI,1224.95,1226,1207,1210.45,122594
31-05-2011,MARUTI,1220,1237,1213,1230.15,419395
01-06-2011,MARUTI,1220,1255,1220,1250.1,444037
02-06-2011,MARUTI,1231,1245.85,1220,1225.4,230627
03-06-2011,MARUTI,1230,1244.9,1218.55,1233.9,219802
06-06-2011,MARUTI,1228,1238.9,1210,1232,186588
07-06-2011,MARUTI,1210.95,1245,1210.95,1240,278512
08-06-2011,MARUTI,1225,1236.05,1218,1223.9,187917
09-06-2011,MARUTI,1215,1222.7,1210,1215.05,168516
10-06-2011,MARUTI,1205.15,1241,1191.05,1226.65,577994
13-06-2011,MARUTI,1220,1236.4,1208.15,1224.95,408847
14-06-2011,MARUTI,1215,1228.9,1208.2,1222.45,290861
15-06-2011,MARUTI,1214.2,1223.9,1205.1,1210,175755
16-06-2011,MARUTI,1196,1200,1183.9,1193.15,354302
17-06-2011,MARUTI,1224,1232,1161.3,1165,1075331
20-06-2011,MARUTI,1177,1177,1130.05,1160.75,523585
21-06-2011,MARUTI,1164.95,1170,1136,1144.8,261594
22-06-2011,MARUTI,1145.15,1149.9,1117.1,1122.75,359730
23-06-2011,MARUTI,1117,1118,1092,1099.3,556227
24-06-2011,MARUTI,1104,1125,1085.8,1119.6,836966
27-06-2011,MARUTI,1109.9,1159.2,1106,1152.75,434614
28-06-2011,MARUTI,1174.7,1174.7,1142.25,1157.85,267340
29-06-2011,MARUTI,1157,1183,1155.25,1176.95,235700
30-06-2011,MARUTI,1185,1186.75,1154.05,1159.9,416028
