Date,Symbol,Open,High,Low,Close,Volume
28-11-2014,BHARTIART,386,390.3,379.15,382.3,5459500
1/12/2014,BHARTIART,384.75,385.5,376.1,377.8,2862826
2/12/2014,BHARTIART,377.65,385.8,377.15,384.35,3314665
3/12/2014,BHARTIART,387,387.35,377,378.4,6746545
4/12/2014,BHARTIART,380,382.6,368.1,369.9,5287286
5/12/2014,BHARTIART,373,375.75,365.05,367.8,4345536
8/12/2014,BHARTIART,367,374.9,366.5,369.75,3842163
9/12/2014,BHARTIART,366.2,372.25,352.6,354.15,5885614
10/12/2014,BHARTIART,360,361.65,348.65,353.3,5255721
11/12/2014,BHARTIART,352.7,357.5,342,343.3,4516550
12/12/2014,BHARTIART,345.05,351.25,345.05,347.95,3889039
15-12-2014,BHARTIART,344.5,351.45,341,349.95,3400040
16-12-2014,BHARTIART,347,351.75,341,350.05,3402781
17-12-2014,BHARTIART,345.1,349.45,340.1,342.05,5479412
18-12-2014,BHARTIART,344.15,349.2,343.55,348.2,4860053
19-12-2014,BHARTIART,348.55,348.85,335.8,343.1,5042121
22-12-2014,BHARTIART,344.95,349.65,344,348.8,3084702
23-12-2014,BHARTIART,350,356.5,349.05,355.2,4616451
24-12-2014,BHARTIART,357.4,357.4,350.5,353.1,5499222
26-12-2014,BHARTIART,356,356.7,349.45,354.3,1158205
29-12-2014,BHARTIART,353,359.45,350,351.2,1209977
30-12-2014,BHARTIART,353.4,354,347.1,349.75,1023382
31-12-2014,BHARTIART,349.8,353.5,349.8,352.7,2183671
1/1/2015,BHARTIART,354.4,364.9,351.65,362.9,2217263
